id;nom;insee;pop_2010;densite_2010;surface;coord1_degree;coord2_degree;coord1_grd;coord2_grd;coord1_dms;coord2_dms
24;SAINT-SORLIN-EN-BUGEY;1386;1061;116;9.07;5.36667;45.8833;3371;50983;52214;455306
25;SONGIEU;1409;130;6;20.58;5.7;45.9667;3740;51082;54208;455824
26;VIRIEU-LE-PETIT;1453;309;18;16.36;5.71667;45.9;3764;51010;54328;455431
27;SAINT-DENIS-EN-BUGEY;1345;2178;834;2.61;5.33333;45.95;3325;51058;51945;455707
28;CHARNOZ-SUR-AIN;1088;911;137;6.62;5.21667;45.8667;3206;50969;51318;455220
29;CHAZEY-SUR-AIN;1099;1464;66;21.95;5.25;45.9;3242;50992;51516;455333
30;MARCHAMP;1233;118;9;13.11;5.55;45.7833;3561;50874;53230;454712
31;CULOZ;1138;2909;150;19.36;5.78333;45.85;3828;50943;54654;455055
32;MANTENAY-MONTLIN;1230;288;26;10.8;5.08333;46.4167;3068;51583;50554;462528
33;MARBOZ;1232;2182;54;40.14;5.25;46.3333;3246;51492;51530;462033
34;FOISSIAT;1163;1912;47;40.36;5.18333;46.3667;3153;51523;51029;462213
35;TREFFORT-CUISIAT;1426;2204;55;39.41;5.36834;46.2714;3369;51413;52206;461617
36;IZIEU;1193;201;26;7.67;5.63333;45.65;3674;50727;53837;453917
37;SAINT-ETIENNE-DU-BOIS;1350;2441;86;28.38;5.28333;46.2833;3285;51431;51736;461717
38;HAUTEVILLE-LOMPNES;1185;4044;80;50.34;5.6;45.9667;3625;51088;53558;455844
39;SAINT-TRIVIER-SUR-MOIGNANS;1389;1877;44;41.99;4.9;46.0667;2846;51193;45354;460424
40;PEYRIAT;1293;171;28;5.96;5.51667;46.15;3526;51282;53037;460915
41;EVOSGES;1155;140;11;12.08;5.5;45.9583;3513;51068;52953;455739
42;PONCIN;1303;1644;83;19.77;5.4;46.0833;3411;51206;52424;460506
43;CRANS;1129;269;20;13.23;5.21667;45.9667;3171;51072;51126;455754
44;MONTREAL-LA-CLUSE;1265;3457;269;12.83;5.57084;46.1867;3593;51319;53415;461112
45;CLEYZIEU;1107;135;17;7.82;5.43333;45.9;3438;51009;52550;455428
46;LOMPNIEU;1221;122;10;11.35;5.65;45.9667;3693;51069;53939;455742
47;VILLEREVERSURE;1447;1208;69;17.45;5.38333;46.1833;3400;51324;52346;461131
48;SAINT-MARTIN-DU-MONT;1374;1651;58;28.09;5.33333;46.1;3324;51224;51942;460606
49;SAINT-GENIS-POUILLY;1354;8914;912;9.77;6.01667;46.25;4094;51382;60117;461436
50;BOLOZON;1051;94;19;4.92;5.48333;46.2;3486;51325;52828;461134
51;CONFRANCON;1115;1157;63;18.17;5.06667;46.2667;3032;51408;50355;461602
52;LOCHIEU;1218;91;12;7.07;5.71667;45.9333;3768;51034;54340;455550
53;CHANOZ-CHATENAY;1084;706;52;13.42;5.03333;46.1833;2993;51316;50148;461103
54;VILLEBOIS;1444;1153;79;14.46;5.43333;45.85;3443;50942;52606;455052
55;CEIGNES;1067;265;26;10.01;5.5;46.1167;3514;51245;52957;460713
56;SAINT-DIDIER-SUR-CHALARONNE;1348;2776;111;24.98;4.81667;46.1667;2757;51308;44904;461039
57;REVONNAS;1321;788;101;7.75;5.33333;46.1667;3326;51291;51949;460944
58;BOURG-SAINT-CHRISTOPHE;1054;1173;130;8.98;5.16667;45.8833;3138;50990;50938;455326
59;CONDEISSIAT;1113;756;34;21.64;5.08333;46.1667;3048;51287;50448;460930
60;PIRAJOUX;1296;360;27;12.99;5.3;46.3833;3292;51524;51757;462217
61;CHALAMONT;1074;2322;70;32.88;5.16667;46;3149;51107;51016;455946
62;LE PLANTAY;1299;540;27;19.96;5.08333;46.0167;3058;51137;50520;460123
63;VERSAILLEUX;1434;332;17;18.77;5.1;45.9833;3075;51089;50614;455849
64;MONTAGNAT;1254;1646;119;13.75;5.28333;46.1667;3275;51301;51703;461015
65;VIEU;1442;380;58;6.54;5.68333;45.9;3717;50990;54054;455326
