id;nom;insee;pop_2010;densite_2010;surface;long_deg;lat_deg
382;CHEVRY;1103;1235;211;5.84;6.03333;46.2833
383;FAREINS;1157;2137;259;8.22;4.76667;46.0167
384;GORREVOD;1175;799;116;6.88;4.95;46.4167
385;VALEINS;1428;88;20;4.36;4.86667;46.1167
386;VIEU-D'IZENAVE;1441;693;29;23.73;5.53333;46.0833
387;TOUSSIEUX;1423;769;162;4.74;4.83333;45.9667
388;ARBIGNY;1016;399;22;17.47;4.96667;46.4667
389;MALAFRETAZ;1229;952;103;9.19;5.15;46.3167
390;SAMOGNAT;1392;718;51;14.01;5.58333;46.25
391;CRAS-SUR-REYSSOUZE;1130;1256;90;13.83;5.16667;46.3
392;MESSIMY-SUR-SAONE;1243;1209;203;5.95;4.76473;46.0484
393;POUGNY;1308;802;103;7.77;5.95;46.1333
394;SANDRANS;1393;524;18;29.02;4.98333;46.0667
395;PONT-DE-VEYLE;1306;1593;821;1.94;4.88333;46.2667
396;MIJOUX;1247;379;17;22;6;46.3667
397;SAINT-JEAN-DE-GONVILLE;1360;1496;121;12.36;5.95;46.2167
398;SAINT-ANDRE-LE-BOUCHOUX;1335;316;33;9.32;5.08333;46.1167
399;CHANEINS;1083;820;64;12.63;4.85;46.1
400;JOYEUX;1198;223;13;16.58;5.1;45.95
401;TRAMOYES;1424;1674;129;12.93;4.96667;45.8667
402;BIZIAT;1046;797;69;11.39;4.93333;46.2167
403;IZENAVE;1191;164;12;13.04;5.53333;46.0333
404;BELMONT-LUTHEZIEU;1036;514;25;19.77;5.66167;45.8795
405;ARBENT;1014;3476;147;23.49;5.68333;46.3
406;SUTRIEU;1414;235;12;19.05;5.65;45.95
407;SERRIERES-DE-BRIORD;1403;1174;146;8.03;5.45445;45.8081
408;ARANC;1012;302;13;21.65;5.5;46
409;CHALEY;1076;127;27;4.6;5.53333;45.95
410;CURCIAT-DONGALON;1139;456;19;23.94;5.15;46.4667
411;LOYETTES;1224;2645;124;21.28;5.2;45.7667
412;GEX;1173;10372;323;32.02;6.06667;46.3333
413;COURTES;1128;266;29;9.06;5.1;46.4667
414;BEREZIAT;1040;445;41;10.83;5.05;46.3667
415;LAPEYROUSE;1207;292;14;20.04;4.96667;45.9833
416;APREMONT;1011;363;24;14.57;5.65833;46.2083
417;VILLIEU-LOYES-MOLLON;1450;3095;194;15.91;5.22223;45.9206
